date,bet,odds,result,stake,pl,reason
20240719,KCR - 1.5,110,H,8,8.8,vibes
20240719,LAD ML,190,H,5.1,9.69,vibes
20240720,NYY ML,-166,M,7,-7,research
20240720,ATL ML,-142,H,8,5.63,research
20240720,DET ML,102,H,8,8.16,research
20240720,KCR - 1.5,-110,H,7,6.36,chute
20240720,ARI/CHC Under 8.5,-115,H,5,4.35,research
20240720,BOS/LAD Over 9,-112,H,8,7.14,research
20240721,DET/TOR Over 8,-112,H,10,8.93,chute
20240721,CLE ML,-108,M,11,-11,vibes
20240721,KCR -1.5,-110,H,8,15.27,vibes
20240721,NYY ML,138,H,9,12.42,research
20240721,NYY ML,-148,M,7,-7,research
20240721,BOS ML,108,M,10,-10,research
20240721,BOS -2.5,134,C,10,-5.03,research
20240722,CLE -1.5,255,M,10,-10,research
20240722,NYM ML,-148,C,11,2.55,research
20240722,TBR/NYY Over 8.5,-122,H,8,6.56,research
20240722,BOS/COL Under 10,-104,M,9,-9,chute
20240722,ATL -1.5,146,M,7,-7,research
20240722,NYM - 3.5,134,M,9,-9,research
20240722,PHI SGP,437,M,1,-1,research
20240722,PHI ML,-116,M,3,-3,research
20240722,BOS ML,-172,M,5,-5,research
20240723,STL ML,200,C,3,0.21,vibes
20240723,SDP ML,102,H,5,5.1,chute
20240723,DET ML,116,M,3,-3,research
20240723,COL ML,132,C,1,-0.76,research
20240723,BAL -2.5,-114,M,1,-1,research
20240723,TOR ML,350,M,1,-1,vibes
20240723,CWS ML,110,M,2,-2,research
20240723,CWS/TEX Over 8.5,100,M,2,-2,vibes
20240723,PHI ML,-113,H,3,2.65,research
20240723,SEA +4.5,-115,H,3,2.61,vibes
20240723,OAK ML,116,H,3,3.48,research
20240723,CHC ML,-110,M,2,-2,research
20240723,SFG ML,134,M,3,-3,research
20240724,ATL ML,-130,M,4,-4,research
20240724,PHI/MIN Over 8.5,-110,H,10,9.09,chute
20240724,MIL/CHC Over 7,-120,M,3,-3,research
20240724,OAK ML,186,M,10,-10,research
20240724,DET ML,120,M,1,-1,research
20240724,BAL -1.5,118,M,3,-3,research
20240724,TOR ML,104,H,3,3.12,research
20240724,NYM/NYY Under 8.5,-105,M,10,-10,chute
20240724,CWS ML,225,M,3,-3,research
20240724,SFG/LAD Over 8.5,-118,H,3,2.54,vibes
20240725,BAL SGP,146,H,8,17.56,vibes
20240725,BAL -2.5,-106,H,10,-10,chute
20240725,BAL/MIA Under 8.5,-115,M,10,-10,hedge
20240725,DET ML,136,H,3,4.08,research
20240725,CWS ML,210,M,2,-2,research
20240725,SFG/LAD Over 8,-115,H,5,4.35,chute
20240725,LAD -1.5,150,H,10,15,research
20240725,NYM first 5 +0.5,-146,H,5,3.42,chute
20240725,LAA ML,-106,M,9,-9,research
20240726,WSH ML,142,,3,4.96,research
20240726,KCR ML,-152,,3,1.97,research
20240726,SEA -1.5,-102,,3,2.94,research
20240726,TEX ML,102,,5,-5,research
20240726,NYY ML,-118,,6,-6,research
20240726,LAA ML,-110,,5,-5,research
20240726,BAL ML,-196,,5,-5,research
20240726,LAD ML,110,,10,-10,research
20240726,SF/COL Over 7.5,-120,,10,8.33,research
20240727,WSH ML,128,H,2,4.56,research
20240727,BAL ML,-104,M,5,-5,research
20240727,CIN ML,108,M,2,-5,research
20240727,NYM ML,-120,M,2,-2,research
20240727,COL ML,188,M,5,0,research
20240727,KCR ML,-132,M,5,-5,research
20240727,TEX/TOR O 8.5,-130,H,3,2.31,research
20240727,DET ML,-104,H,2,1.92,research
20240727,SEA -1.5,116,H,10,11.6,research
20240727,MIA ML,136,H,2,2.72,research
20240727,CWS/SEA Parlay,440,M,3,-3,research
20240727,PIT ML,146,M,10,-10,research
20240727,OAK ML,108,H,2,2.16,research
20240728,SEA -1.5,11,H,130,14.30,vibes
20240728,TBR ML,102,H,7,7.14,research
20240728,HOU/LAD f5 U 0.5,116,M,3,-3,hedge
20240728,LAD f5,142,H,5,7.1,research
20240728,PHI ML,-130,M,2,-2,research
20240728,PHI -1.5,155,M,2,-2,vibes
20240728,TEX/TOR O 8.5,-104,H,6,5.71,research
20240728,DET ML,124,M,2,-2,research
20240728,ATL ML,-104,H,9,8.65,chute
20240728,MIA/MIL U8,-105,W,2,0,research
20240728,SFG -1.5,116,M,2,-2,research
20240728,OAK ML,116,M,2,-2,research
20240728,BOS ML,-108,M,10,-10,vibes