Tm,W,L,pythWL
Philadelphia Phillies,63,36,61-38
New York Yankees,59,42,61-40
Los Angeles Dodgers,59,41,60-40
Baltimore Orioles,60,39,59-40
Cleveland Guardians,59,39,58-40
Milwaukee Brewers,57,42,58-41
Kansas City Royals,55,45,58-42
Atlanta Braves,54,44,56-42
Houston Astros,52,47,55-44
Minnesota Twins,54,44,53-45
Boston Red Sox,53,45,53-45
Cincinnati Reds,47,53,53-47
Arizona Diamondbacks,51,49,52-48
Seattle Mariners,53,48,52-49
New York Mets,50,48,50-48
San Diego Padres,52,50,52-50
Detroit Tigers,49,51,50-50
Texas Rangers,47,52,49-50
Chicago Cubs,48,53,49-52
Pittsburgh Pirates,50,49,48-51
Washington Nationals,47,53,47-53
San Francisco Giants,48,52,47-53
St. Louis Cardinals,52,47,46-53
Tampa Bay Rays,50,49,43-56
Oakland Athletics,39,62,43-58
Toronto Blue Jays,45,54,42-57
Los Angeles Angels,42,57,39-60
Colorado Rockies,36,64,35-65
Miami Marlins,35,64,34-65
Chicago White Sox,27,74,30-71